ID;Mag (I);Mag (V);Period;Uncertainty Period;A.Mag (V);A.Mag (I);Dis. Mod. W;Distance 1;Distance2;Distance 3;Distance 1 +;Distance 1 -;Distance 2 +;Distance 2 -;Distance 3 +;Distance 3 -
OGLE-LMC-CEP-0447;15,74;16,48;2,564180;0,000004;-2,07;-2,80;18,43;51.071,48;50.907,14;49.421,94;51.071,53;51.071,44;50.907,18;50.907,09;48.479,04;48.479,00
OGLE-LMC-CEP-2439;15,74;16,45;2,369933;0,000002;-1,97;-2,70;18,62;48.318,01;48.637,08;50.399,46;48.318,03;48.317,99;48.637,10;48.637,06;52.941,14;52.941,11
OGLE-LMC-CEP-1507;15,74;16,37;2,049834;0,000002;-1,81;-2,51;18,56;43.217,31;44.644,84;51.612,63;43.217,34;43.217,28;44.644,87;44.644,81;51.544,54;51.544,50
OGLE-LMC-CEP-0282;15,74;16,59;2,823095;0,000005;-2,18;-2,92;18,46;56.635,33;54.113,16;53.813,75;56.635,38;56.635,28;54.113,21;54.113,10;49.095,24;49.095,21
OGLE-LMC-CEP-2957;15,74;16,62;2,739278;0,000006;-2,14;-2,88;18,38;56.558,48;53.173,31;52.623,05;56.558,54;56.558,41;53.173,38;53.173,25;47.497,75;47.497,66
OGLE-LMC-CEP-2849;15,75;16,98;3,763571;0,000018;-2,51;-3,30;18,61;79.062,48;64.358,07;50.227,26;79.062,68;79.062,28;64.358,25;64.357,89;52.623,31;52.622,79
OGLE-LMC-CEP-2047;15,75;16,49;2,495006;0,000001;-2,03;-2,76;18,48;50.726,65;50.384,03;49.367,94;50.726,66;50.726,64;50.384,04;50.384,02;49.772,04;49.772,02
OGLE-LMC-CEP-2475;15,75;16,49;2,382573;0,000002;-1,98;-2,70;18,51;49.401,78;49.039,47;48.710,29;49.401,80;49.401,76;49.039,49;49.039,44;50.438,22;50.438,18
OGLE-LMC-CEP-3215;15,75;16,62;2,661863;0,000004;-2,11;-2,85;18,63;55.647,94;52.392,09;50.835,61;55.647,99;55.647,90;52.392,14;52.392,05;53.313,69;53.313,55
OGLE-LMC-CEP-1394;15,75;16,49;2,295021;0,000001;-1,94;-2,66;18,50;48.446,24;47.978,35;50.713,79;48.446,25;48.446,22;47.978,36;47.978,33;50.186,97;50.186,95
OGLE-LMC-CEP-0276;15,75;16,47;2,341901;0,000002;-1,96;-2,68;18,52;48.456,23;48.605,41;52.709,90;48.456,26;48.456,21;48.605,44;48.605,38;50.487,41;50.487,39
OGLE-LMC-CEP-0337;15,75;16,58;2,880484;0,000005;-2,20;-2,95;18,40;56.905,55;55.044,91;51.343,96;56.905,60;56.905,49;55.044,97;55.044,85;47.849,55;47.849,50
OGLE-LMC-CEP-2069;15,75;16,52;2,539562;0,000001;-2,05;-2,79;18,72;51.753,68;51.059,80;50.674,91;51.753,69;51.753,67;51.059,81;51.059,79;55.431,54;55.431,52
OGLE-LMC-CEP-0480;15,76;16,87;4,035001;0,000012;-2,59;-3,39;18,41;77.968,74;67.335,84;51.896,85;77.968,86;77.968,61;67.335,96;67.335,73;48.093,01;48.092,87
OGLE-LMC-CEP-0179;15,76;16,52;2,615184;0,000004;-2,09;-2,82;18,67;52.595,21;52.009,40;50.193,57;52.595,26;52.595,17;52.009,45;52.009,35;54.284,88;54.284,86
OGLE-LMC-CEP-1470;15,76;16,63;2,887371;0,000001;-2,20;-2,95;18,54;58.439,75;55.174,17;50.773,61;58.439,77;58.439,74;55.174,19;55.174,16;51.048,23;51.048,20
OGLE-LMC-CEP-2811;15,76;16,87;3,166871;0,000003;-2,31;-3,07;18,57;68.538,82;58.408,50;52.729,80;68.538,85;68.538,79;58.408,53;58.408,47;51.720,05;51.719,98
OGLE-LMC-CEP-1577;15,76;16,45;2,324260;0,000004;-1,95;-2,67;18,62;47.972,91;48.609,98;48.641,42;47.972,95;47.972,86;48.610,03;48.609,93;52.927,71;52.927,64
OGLE-LMC-CEP-1607;15,77;16,69;3,029458;0,000005;-2,26;-3,01;18,58;61.638,05;57.014,11;50.388,33;61.638,10;61.638,00;57.014,16;57.014,06;51.951,21;51.951,12
OGLE-LMC-CEP-0354;15,77;16,48;2,241141;0,000003;-1,91;-2,62;18,63;47.571,90;47.696,87;51.539,62;47.571,94;47.571,87;47.696,91;47.696,84;53.100,42;53.100,39
OGLE-LMC-CEP-2734;15,77;16,55;2,399297;0,000001;-1,99;-2,71;18,48;51.116,95;49.768,91;50.745,78;51.116,96;51.116,93;49.768,93;49.768,90;49.771,00;49.770,97
OGLE-LMC-CEP-0715;15,78;16,66;2,884378;0,000002;-2,20;-2,95;18,49;59.165,41;55.701,53;50.994,34;59.165,43;59.165,38;55.701,56;55.701,51;50.000,58;50.000,55
OGLE-LMC-CEP-2230;15,78;16,72;3,130618;0,000007;-2,30;-3,06;18,39;63.659,97;58.518,46;51.681,01;63.660,04;63.659,90;58.518,53;58.518,39;47.586,01;47.585,88
OGLE-LMC-CEP-3069;15,78;16,59;2,513536;0,000008;-2,04;-2,77;18,46;53.204,98;51.334,59;50.569,34;53.205,07;53.204,89;51.334,69;51.334,49;49.156,80;49.156,61
OGLE-LMC-CEP-0211;15,78;16,42;2,097756;0,000002;-1,83;-2,54;18,41;44.773,09;46.148,65;50.828,50;44.773,11;44.773,08;46.148,67;46.148,62;47.997,62;47.997,61
OGLE-LMC-CEP-0701;15,78;16,39;2,175204;0,000005;-1,88;-2,59;18,55;45.042,75;47.157,68;53.385,06;45.042,80;45.042,70;47.157,74;47.157,62;51.316,05;51.315,99
OGLE-LMC-CEP-2538;15,78;16,60;2,874534;0,000002;-2,20;-2,95;18,49;57.395,12;55.690,53;49.510,54;57.395,15;57.395,10;55.690,55;55.690,50;49.988,82;49.988,76
OGLE-LMC-CEP-1208;15,79;16,57;2,569012;0,000004;-2,07;-2,80;18,50;53.482,92;52.175,48;49.382,28;53.482,97;53.482,87;52.175,54;52.175,43;50.129,84;50.129,77
OGLE-LMC-CEP-3022;15,79;16,65;2,614286;0,000008;-2,09;-2,82;18,50;55.881,30;52.722,11;50.356,60;55.881,39;55.881,21;52.722,21;52.722,02;50.086,34;50.086,09
OGLE-LMC-CEP-3161;15,79;16,79;3,220972;0,000008;-2,33;-3,09;18,51;66.813,63;59.739,97;52.520,31;66.813,72;66.813,54;59.740,06;59.739,88;50.314,92;50.314,75
OGLE-LMC-CEP-2976;15,79;16,76;2,925111;0,000012;-2,22;-2,97;18,68;62.419,46;56.428,76;48.092,94;62.419,60;62.419,32;56.428,90;56.428,62;54.350,42;54.350,20
OGLE-LMC-CEP-3002;15,79;16,67;2,399314;0,000001;-1,99;-2,71;18,58;53.822,82;50.160,27;50.000,57;53.822,84;53.822,81;50.160,29;50.160,26;51.931,48;51.931,45
OGLE-LMC-CEP-2836;15,79;16,74;3,095620;0,000005;-2,28;-3,04;18,59;63.893,88;58.422,49;53.269,93;63.893,93;63.893,83;58.422,54;58.422,44;52.181,38;52.181,27
OGLE-LMC-CEP-0109;15,79;16,64;2,853409;0,000003;-2,19;-2,94;18,58;58.393,48;55.676,27;52.440,42;58.393,51;58.393,45;55.676,30;55.676,24;52.075,72;52.075,71
OGLE-LMC-CEP-1845;15,79;16,42;2,069757;0,000002;-1,82;-2,52;18,51;44.452,99;45.970,32;49.362,74;44.453,01;44.452,97;45.970,35;45.970,29;50.356,62;50.356,58
OGLE-LMC-CEP-1144;15,79;16,84;3,655459;0,000004;-2,48;-3,26;18,58;72.880,44;64.573,03;50.238,69;72.880,48;72.880,40;64.573,07;64.572,99;52.043,49;52.043,43
OGLE-LMC-CEP-2809;15,80;17,15;4,679286;0,000011;-2,76;-3,58;18,55;95.868,50;74.959,93;51.761,87;95.868,61;95.868,38;74.960,03;74.959,83;51.177,45;51.177,16
OGLE-LMC-CEP-3032;15,80;16,73;2,719015;0,000006;-2,13;-2,87;18,52;59.180,11;54.221,30;49.712,32;59.180,18;59.180,04;54.221,37;54.221,23;50.585,96;50.585,77
OGLE-LMC-CEP-3137;15,80;16,58;2,433465;0,000002;-2,01;-2,73;18,56;52.220,88;50.748,35;49.935,64;52.220,90;52.220,86;50.748,37;50.748,32;51.564,70;51.564,67
OGLE-LMC-CEP-1532;15,80;16,48;2,205664;0,000001;-1,89;-2,60;18,48;47.168,28;47.880,16;50.588,13;47.168,29;47.168,27;47.880,17;47.880,15;49.712,32;49.712,31
OGLE-LMC-CEP-1525;15,80;16,50;2,485077;0,000002;-2,03;-2,76;18,43;50.735,44;51.482,51;47.929,66;50.735,46;50.735,42;51.482,53;51.482,49;48.569,36;48.569,34
OGLE-LMC-CEP-0411;15,81;16,59;2,630781;0,000002;-2,10;-2,83;18,54;54.516,16;53.434,60;51.035,93;54.516,19;54.516,13;53.434,63;53.434,57;51.132,18;51.132,16
OGLE-LMC-CEP-0529;15,81;16,65;2,855997;0,000008;-2,19;-2,94;18,59;58.502,52;56.144,22;51.286,10;58.502,61;58.502,43;56.144,31;56.144,12;52.175,06;52.174,98
OGLE-LMC-CEP-3173;15,81;16,87;2,918030;0,000004;-2,22;-2,97;18,57;65.698,88;56.894,80;51.522,42;65.698,92;65.698,84;56.894,84;56.894,76;51.667,83;51.667,74
OGLE-LMC-CEP-2898;15,81;16,52;2,108834;0,000004;-1,84;-2,55;18,56;46.993,59;46.937,90;48.088,98;46.993,63;46.993,54;46.937,95;46.937,84;51.458,65;51.458,54
OGLE-LMC-CEP-0930;15,82;16,82;3,427605;0,000005;-2,40;-3,17;18,55;69.901,27;62.918,09;51.896,53;69.901,33;69.901,22;62.918,15;62.918,03;51.262,67;51.262,60
OGLE-LMC-CEP-1692;15,82;16,72;2,934026;0,000001;-2,22;-2,97;18,52;61.549,67;57.344,13;49.175,91;61.549,69;61.549,65;57.344,15;57.344,11;50.620,49;50.620,46
OGLE-LMC-CEP-0238;15,82;16,57;2,505793;0,000003;-2,04;-2,77;18,41;52.800,34;52.289,05;53.110,26;52.800,38;52.800,31;52.289,08;52.289,01;48.051,20;48.051,18
OGLE-LMC-CEP-0364;15,82;16,55;2,330281;0,000002;-1,95;-2,67;18,53;50.303,25;50.072,10;49.829,02;50.303,27;50.303,23;50.072,12;50.072,07;50.765,49;50.765,48
OGLE-LMC-CEP-3255;15,82;16,77;2,917068;0,000007;-2,22;-2,97;18,56;62.557,79;57.277,90;49.542,97;62.557,87;62.557,71;57.277,98;57.277,82;51.431,68;51.431,40
